59.882145
0x40102a 0.015603         "[unknown]" 0
0x46c383 0.003907         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 352
0x46c388 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 352
0x46c38c 0.001964         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 349
0x46c391 0.001943         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 351
0x46c397 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 349
0x46c39a 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 351
0x46c39c 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 351
0x46c39e 0.007801         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 355
0x46c3a5 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 355
0x46c3ab 0.003906         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3b6 0.001953         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3ba 0.001944         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3bd 0.009708         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3bf 0.006850         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 358
0x46c3c3 0.094697         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 358
0x46c3c6 0.022460         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3c9 0.013698         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3d2 0.083064         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 357
0x46c3dd 0.034113         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 361
0x46c3e3 0.005859         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 361
0x46c3e5 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 361
0x46c3e7 0.019541         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 361
0x46c3ea 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 364
0x46c3ec 0.001949         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 364
0x46c3f8 0.005859         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 365
0x46c3fe 0.017578         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 365
0x46c406 0.025404         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 364
0x46c40c 0.011710         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 370
0x46c413 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 370
0x46c41a 0.035158         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 370
0x46c41e 0.044941         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 376
0x46c421 0.001953         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 376
0x46c427 0.001949         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 399
0x46c429 0.013647         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 399
0x46c436 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 402
0x46c440 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 402
0x46c447 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 402
0x46c455 0.001949         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 407
0x46c466 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4ab 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4b2 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4b8 0.022472         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 410
0x46c4bb 0.027350         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4c2 0.019547         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4cc 0.001950         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c4e5 0.003905         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 410
0x46c4ec 0.001955         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 410
0x46c4f7 0.017588         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 410
0x46c502 0.005860         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 409
0x46c50f 0.015625         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 415
0x46c524 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 430
0x46c530 0.003907         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 430
0x46c537 0.003906         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 438
0x46c53e 0.004885         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 438
